"","name","parentid","level","path_2","path_3","path_4","path_5","path_6","path_7"
"1","Kenya",NA,"1","HfVjCurKxh2",NA,NA,NA,NA,NA
"2","10 Engineer VCT","pF6qPMIlHte","4","HfVjCurKxh2","xuFdFy6t9AH","pF6qPMIlHte","Vh676wb3d16",NA,NA
"3","12 Engineers","YZAZ1a9MIvX","4","HfVjCurKxh2","qKzosKQPl6G","YZAZ1a9MIvX","gPEGZGkfDWa",NA,NA
"4","3Kl Maternity & Nursing Home","BLz1HkvvMkA","4","HfVjCurKxh2","Hsk1YV8kHkT","BLz1HkvvMkA","KZ8mcWp8Mmo",NA,NA
"5","3Kr Health Centre","FBJ9Y11esHS","4","HfVjCurKxh2","ob6SxuRcqU4","FBJ9Y11esHS","CgMmkS9jWI6",NA,NA
"6","4Ms Community Health Unit","OArtNCNolNl","6","HfVjCurKxh2","N7YETT3A9r1","wUNEDOnx9uB","XZNJ3zaiaZH","OArtNCNolNl","GndpAyWp8in"
"7","78 Tank Battalion Dispensary","I2LYLqKU6AW","4","HfVjCurKxh2","bzOfj0iwfDH","I2LYLqKU6AW","MgMyK9aTJ2C",NA,NA
"8","7KR Mrs Health Centre","aTGYlhEw2Xx","4","HfVjCurKxh2","jkG3zaihdSs","aTGYlhEw2Xx","kMvyfZaFoq8",NA,NA
"9","8Th Street Clinic","g6gTzQ5nfYq","4","HfVjCurKxh2","Hsk1YV8kHkT","g6gTzQ5nfYq","sxSzjDL1zPB",NA,NA
"10","AAR Adams","LO5he3DtiFG","4","HfVjCurKxh2","jkG3zaihdSs","LO5he3DtiFG","fo3o1ttGuxt",NA,NA
"11","AAR City Centre Clinic","nKHlZyN0lt9","4","HfVjCurKxh2","jkG3zaihdSs","nKHlZyN0lt9","DX1UYTb1erh",NA,NA
"12","AAR Clinic Sarit Centre (Westlands)","f1T0Ltob8VQ","4","HfVjCurKxh2","jkG3zaihdSs","f1T0Ltob8VQ","l0jxFYujGaJ",NA,NA
"13","AAR Eldoret","lmr1q6dTaso","4","HfVjCurKxh2","pZqQRRW7PHP","lmr1q6dTaso","mhLjHezhoVN",NA,NA
